protein	id	evalue	score
NIPA01000048.1_fragment_2_81	PF00343.20	3.9e-297	983.4
NIPA01000105.1_fragment_1_34	PF04257.14	8.400000000000001e-277	916.5
NIPA01000067.1_2	PF06315.11	1.6e-241	798.8
NIPA01000040.1_fragment_1_80	PF02867.15	1.1e-183	607.6
NIPA01000038.1_fragment_3_131	PF13654.6	9.099999999999999e-181	598.2
NIPA01000012.1_fragment_1_36	PF00171.22	9e-176	581.0
NIPA01000070.1_fragment_1_55	PF11508.8	1.6e-152	501.0
NIPA01000026.1_fragment_1_17	PF11843.8	2.4e-143	473.7
NIPA01000070.1_fragment_1_19	PF01526.17	9.899999999999999e-142	468.4
NIPA01000097.1_10	PF01526.17	4e-141	466.4
NIPA01000111.1_fragment_1_112	PF03969.16	4.2e-138	456.3
NIPA01000038.1_fragment_3_138	PF01139.17	1.6e-135	448.6
NIPA01000111.1_fragment_1_108	PF08682.10	1.9e-132	435.4
NIPA01000086.1_fragment_2_140	PF07514.11	1.2000000000000002e-130	431.4
NIPA01000073.1_fragment_1_99	PF00303.19	4.3999999999999995e-127	418.9
NIPA01000086.1_fragment_2_123	PF11920.8	4.1000000000000004e-126	416.1
NIPA01000023.1_fragment_1_57	PF11867.8	1.8e-124	411.5
NIPA01000052.1_fragment_1_19	PF11920.8	2.5e-122	403.7
NIPA01000038.1_fragment_2_75	PF11920.8	6.800000000000001e-122	402.3
NIPA01000006.1_2	PF05876.12	2e-120	399.0
NIPA01000034.1_2	PF05876.12	4.8e-120	397.8
NIPA01000092.1_fragment_1_5	PF00872.18	1.6e-116	385.4
NIPA01000052.1_fragment_1_51	PF01131.20	4.0000000000000003e-112	371.3
NIPA01000073.1_fragment_1_97	PF11981.8	9.999999999999999e-111	365.8
NIPA01000003.1_4	PF11678.8	9.300000000000001e-110	362.5
NIPA01000034.1_4	PF05136.13	9.300000000000001e-110	363.3
NIPA01000086.1_fragment_1_62	PF01131.20	2.1e-108	359.1
NIPA01000050.1_fragment_1_22	PF05954.11	7.499999999999999e-107	353.2
NIPA01000086.1_fragment_2_116	PF01526.17	2.5e-103	342.0
