Contig,Start,End,Contig Length
NIPA01000047.1,340,14240,14512
NIPA01000034.1,669,13184,13833
NIPA01000112.1,474,1555,2365
NIPA01000041.1,311,1935,2495
NIPA01000006.1,675,9780,11656
NIPA01000078.1,3422,38013,38522
NIPA01000055.1,104,2204,2632
NIPA01000069.1,104,2046,2474
NIPA01000018.1,328955,381019,411553
NIPA01000022.1,1113,16569,46024
NIPA01000039.1,357,17952,343373
NIPA01000040.1,239159,268851,270639
NIPA01000086.1,450508,453913,454721
NIPA01000027.1,19316,46128,225984
