protein	scaffold	AMG KO	AMG KO name	Pfam	Pfam name
NIPA01000078.1_9	NIPA01000078.1	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	
NIPA01000018.1_fragment_3_323	NIPA01000018.1_fragment_3	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"		
NIPA01000018.1_fragment_3_369	NIPA01000018.1_fragment_3	K21140	mec; [CysO sulfur-carrier protein]-S-L-cysteine hydrolase [EC:3.13.1.6]	PF14464.6	Phage minor tail protein L
NIPA01000018.1_fragment_3_381	NIPA01000018.1_fragment_3	K01793	GLCE; heparosan-N-sulfate-glucuronate 5-epimerase [EC:5.1.3.17]	PF06662.13	
NIPA01000039.1_fragment_1_19	NIPA01000039.1_fragment_1	K00558	"DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]"	PF00145.17	
NIPA01000086.1_fragment_6_431	NIPA01000086.1_fragment_6	K06167	"phnP; phosphoribosyl 1,2-cyclic phosphate phosphodiesterase [EC:3.1.4.55]"	PF12706.7	Integrase core domain
NIPA01000086.1_fragment_6_432	NIPA01000086.1_fragment_6	K01923	purC; phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:6.3.2.6]	PF01259.18	Beta-lactamase superfamily domain
NIPA01000027.1_fragment_1_27	NIPA01000027.1_fragment_1	K21140	mec; [CysO sulfur-carrier protein]-S-L-cysteine hydrolase [EC:3.13.1.6]	PF00877.19	
