protein	id	evalue	score
NIPA01000086.1_212	K20455	0.0	1786.5
NIPA01000043.1_24	K03724	0.0	1566.2
NIPA01000117.1_16	K02355	0.0	1091.2
NIPA01000048.1_158	K02355	0.0	1095.9
NIPA01000086.1_184	K03596	0.0	1072.6
NIPA01000079.1_21	K01690	0.0	1053.2
NIPA01000039.1_258	K01952	0.0	2054.0
NIPA01000086.1_415	K18000	0.0	1226.6
NIPA01000102.1_44	K03147	0.0	1123.6
NIPA01000099.1_191	K06959	0.0	1206.0
NIPA01000063.1_33	K02336	0.0	1252.6
NIPA01000066.1_75	K17686	0.0	1083.3
NIPA01000073.1_13	K18322	0.0	1531.4
NIPA01000014.1_21	K18322	0.0	1221.9
NIPA01000038.1_154	K18322	0.0	1181.0
NIPA01000105.1_34	K03583	0.0	1309.9
NIPA01000061.1_23	K03583	0.0	1328.7
NIPA01000039.1_132	K02337	0.0	1665.4
NIPA01000018.1_94	K03723	0.0	1535.9
NIPA01000094.1_6	K18307	0.0	1845.7
NIPA01000005.1_8	K01414	0.0	1019.6
NIPA01000082.1_68	K18307	0.0	1480.0
NIPA01000108.1_133	K01338	0.0	1168.4
NIPA01000086.1_1	K14162	0.0	1666.2
NIPA01000011.1_40	K18095	0.0	1069.4
NIPA01000093.1_37	K19585	0.0	1476.8
NIPA01000102.1_266	K01955	0.0	1830.3
NIPA01000059.1_118	K01681	0.0	1423.4
NIPA01000108.1_113	K01682	0.0	1528.8
NIPA01000109.1_22	K21182	0.0	1371.5
NIPA01000105.1_35	K03582	0.0	1282.1
NIPA01000061.1_24	K03582	0.0	1297.3
NIPA01000046.1_167	K03580	0.0	1258.5
NIPA01000099.1_203	K00281	0.0	1721.8
NIPA01000083.1_2	K00281	0.0	1781.0
NIPA01000052.1_4	K02298	0.0	1127.7
NIPA01000046.1_84	K19339	0.0	1027.5
NIPA01000068.1_85	K02298	0.0	1140.6
NIPA01000038.1_96	K03695	0.0	1319.9
NIPA01000099.1_21	K00284	0.0	1857.3
NIPA01000108.1_175	K00548	0.0	2041.0
NIPA01000018.1_48	K12297	0.0	1139.9
NIPA01000046.1_148	K15654	0.0	1445.3
NIPA01000022.1_49	K16635	0.0	1046.0
NIPA01000005.1_33	K16636	0.0	1044.9
NIPA01000039.1_44	K10011	0.0	1113.9
NIPA01000039.1_168	K21134	0.0	1326.6
NIPA01000050.1_85	K21134	0.0	1803.7
NIPA01000018.1_28	K15371	0.0	1990.6
NIPA01000068.1_104	K17060	0.0	1206.2
NIPA01000063.1_27	K07303	0.0	1119.2
NIPA01000011.1_7	K21133	0.0	1190.6
NIPA01000011.1_6	K21133	0.0	1273.2
NIPA01000002.1_47	K21133	0.0	2009.4
NIPA01000092.1_77	K01139	0.0	1013.4
NIPA01000010.1_4	K00302	0.0	1532.1
NIPA01000064.1_49	K03579	0.0	1130.4
NIPA01000099.1_162	K18473	0.0	1030.8
NIPA01000046.1_181	K03578	0.0	1864.9
NIPA01000048.1_64	K01214	0.0	1143.6
NIPA01000082.1_97	K03070	0.0	1315.4
NIPA01000059.1_94	K00164	0.0	1316.1
NIPA01000086.1_348	K19611	0.0	1143.1
NIPA01000039.1_196	K13490	0.0	1133.9
NIPA01000099.1_102	K06207	0.0	1045.5
NIPA01000016.1_48	K11177	0.0	1029.0
NIPA01000102.1_194	K01531	0.0	1398.1
NIPA01000066.1_28	K00370	0.0	2111.2
NIPA01000040.1_88	K11020	0.0	1536.3
NIPA01000062.1_20	K21833	0.0	1230.2
NIPA01000108.1_105	K00372	0.0	1209.6
NIPA01000117.1_48	K03701	0.0	1524.8
NIPA01000092.1_35	K03656	0.0	1013.7
NIPA01000059.1_158	K13482	0.0	1373.0
NIPA01000025.1_118	K19611	0.0	1177.0
NIPA01000002.1_114	K01608	0.0	1143.6
NIPA01000059.1_152	K01972	0.0	1054.8
NIPA01000025.1_48	K03694	0.0	1273.7
NIPA01000108.1_148	K01584	0.0	1017.5
NIPA01000108.1_107	K00362	0.0	1151.6
NIPA01000002.1_40	K12953	0.0	1070.8
NIPA01000014.1_26	K01969	0.0	1049.0
