Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
2OG_0_CAS-I-II-III-IV-V-VI	NIPA01000063.1_41	208	205	4.8e-05	21.1	47184	47807	NIPA01000063.1	41	0.3557692307692308	0.4097560975609756	-1
2OG_0_CAS-I-II-III-IV-V-VI	NIPA01000111.1_88	243	205	2.7e-06	25.2	94066	94794	NIPA01000111.1	88	0.3168724279835391	0.37073170731707317	1
2OG_1_CAS-I-II-III-IV-V-VI	NIPA01000063.1_41	208	94	2.6e-12	45.8	47184	47807	NIPA01000063.1	41	0.4182692307692308	0.9893617021276596	-1
2OG_1_CAS-I-II-III-IV-V-VI	NIPA01000073.1_132	210	94	1.7e-20	72.1	141287	141916	NIPA01000073.1	132	0.4238095238095238	0.9893617021276596	-1
2OG_1_CAS-I-II-III-IV-V-VI	NIPA01000111.1_88	243	94	2.2e-15	55.7	94066	94794	NIPA01000111.1	88	0.38271604938271603	0.9680851063829787	1
AbiEii_0_CAS-III	NIPA01000002.1_37	543	284	1.5e-05	23.3	37388	39016	NIPA01000002.1	37	0.11233885819521179	0.13732394366197184	1
AbiEii_0_CAS-III	NIPA01000002.1_86	234	284	5.4e-05	21.5	88653	89354	NIPA01000002.1	86	0.3717948717948718	0.29225352112676056	1
AbiEii_0_CAS-III	NIPA01000005.1_2	240	284	3.5e-06	25.3	2125	2844	NIPA01000005.1	2	0.44166666666666665	0.3485915492957746	1
AbiEii_0_CAS-III	NIPA01000010.1_159	370	284	0.00026	19.2	172528	173637	NIPA01000010.1	159	0.23513513513513515	0.3204225352112676	1
AbiEii_0_CAS-III	NIPA01000010.1_38	422	284	0.022	12.9	44558	45823	NIPA01000010.1	38	0.20616113744075829	0.25	-1
AbiEii_0_CAS-III	NIPA01000010.1_87	270	284	8.7e-05	20.8	97634	98443	NIPA01000010.1	87	0.1111111111111111	0.10211267605633803	1
AbiEii_0_CAS-III	NIPA01000010.1_90	336	284	0.00069	17.8	100261	101268	NIPA01000010.1	90	0.2767857142857143	0.31338028169014087	1
AbiEii_0_CAS-III	NIPA01000012.1_46	235	284	0.00011	20.4	49186	49890	NIPA01000012.1	46	0.4340425531914894	0.352112676056338	-1
AbiEii_0_CAS-III	NIPA01000012.1_72	309	284	4.7e-07	28.2	71396	72322	NIPA01000012.1	72	0.3333333333333333	0.3485915492957746	-1
AbiEii_0_CAS-III	NIPA01000016.1_22	522	284	4.5e-07	28.3	21600	23165	NIPA01000016.1	22	0.2796934865900383	0.3873239436619718	1
AbiEii_0_CAS-III	NIPA01000018.1_110	228	284	0.038	12.1	129732	130415	NIPA01000018.1	110	0.38596491228070173	0.30633802816901406	1
AbiEii_0_CAS-III	NIPA01000018.1_174	256	284	1.5e-05	23.2	193857	194624	NIPA01000018.1	174	0.5546875	0.4859154929577465	-1
